strategy,run,pid,condition,succesfulrobot,timesec,succcess,expTime
1,1,1600,1,0,168.5,0,143.237885462555
1,1,1600,2,0,50,0,45.193
1,1,1600,3,0,55,0,49.757
1,1,1600,4,0,33.5,0,24.596
1,1,7042,1,2,12.5,1,175.599118942731
1,1,7042,2,0,165.5,2,160.44
1,1,7042,3,0,114,0,108.78
1,1,7042,4,3,13.5,1,55.058
1,1,8989,1,2,21.5,1,373.95154185022
1,1,8989,2,0,156.5,0,151.39
1,1,8989,3,0,166.5,0,161.14
1,1,8989,4,0,224,0,11.83
1,2,6801,1,2,19,1,139
1,2,6801,2,0,45,0,40.664
1,2,6801,3,3,22.5,1,61.086
1,2,6801,4,0,142.5,0,128.55
1,2,7194,1,3,99,1,97.9162995594714
1,2,7194,2,2,32,1,52.19
1,2,7194,3,0,76,0,70.545
1,2,7194,4,0,45.5,0,35.919
1,2,8431,1,0,135,0,113.933920704846
1,2,8431,2,0,44.5,0,39.059
1,2,8431,3,0,131,0,138.04
1,2,8431,4,0,49.5,0,39.542
1,3,1870,1,3,26,1,196.533039647577
1,3,1870,2,2,30,1,63.257
1,3,1870,3,0,147,0,154.28
1,3,1870,4,2,145,1,16.458
1,3,3088,1,3,74.5,1,159.149779735683
1,3,3088,2,0,30,0,31.37
1,3,3088,3,0,157.5,0,153.38
1,3,3088,4,0,102.5,0,7.412
1,3,6801,1,3,32.5,1,139
1,3,6801,2,0,45,0,40.664
1,3,6801,3,3,11,1,61.086
1,3,6801,4,0,142.5,0,128.55
1,4,6801,1,0,162.5,0,139
1,4,6801,2,0,45,0,40.664
1,4,6801,3,0,65,0,61.086
1,4,6801,4,2,11.5,1,128.55
1,4,8521,1,2,75.5,1,203.590308370044
1,4,8521,2,3,11.5,1,153.7
1,4,8521,3,0,117,0,111.83
1,4,8521,4,0,97.5,0,83.497
1,4,8864,1,3,16,1,258.885462555066
1,4,8864,2,0,56.5,0,51.151
1,4,8864,3,0,43,0,37.675
1,4,8864,4,0,133,0,27.719
1,5,1251,1,3,174,1,186.674008810573
1,5,1251,2,0,55,0,71.126
1,5,1251,3,0,81.5,0,76.031
1,5,1251,4,0,66,0,55.286
1,5,3088,1,3,173.5,1,159.149779735683
1,5,3088,2,0,30,0,31.37
1,5,3088,3,2,63.5,1,153.38
1,5,3088,4,0,102.5,0,7.412
1,5,8864,1,3,92,1,258.885462555066
1,5,8864,2,3,22.5,1,51.151
1,5,8864,3,0,43,0,37.675
1,5,8864,4,0,133,0,27.719
1,6,2241,1,0,229,0,201.775330396476
1,6,2241,2,0,48.5,0,43.006
1,6,2241,3,2,12,1,66.821
1,6,2241,4,0,26.5,0,18.399
1,6,2652,1,2,9.5,1,280.039647577092
1,6,2652,2,0,23,0,30.292
1,6,2652,3,2,70.5,1,153.93
1,6,2652,4,0,130.5,0,5.48
1,6,4774,1,1,112,1,222.84140969163
1,6,4774,2,0,44,0,56.349
1,6,4774,3,0,67.5,0,79.836
1,6,4774,4,0,35,0,25.697
1,7,6605,1,0,162,0,137.352422907489
1,7,6605,2,0,49,0,45.881
1,7,6605,3,0,48.5,0,68.863
1,7,6605,4,0,169,0,160.76
1,7,7042,1,2,31.5,1,175.599118942731
1,7,7042,2,3,101.5,1,160.44
1,7,7042,3,2,30.5,1,108.78
1,7,7042,4,0,67,0,55.058
1,7,7623,1,2,114,1,236.224669603524
1,7,7623,2,2,45,1,64.163
1,7,7623,3,3,11.5,1,54.231
1,7,7623,4,0,171,0,10.046
1,8,1870,1,3,75.5,1,196.533039647577
1,8,1870,2,0,68.5,0,63.257
1,8,1870,3,0,147,0,154.28
1,8,1870,4,0,180,0,16.458
1,8,2241,1,2,135.5,1,201.775330396476
1,8,2241,2,0,48.5,0,43.006
1,8,2241,3,0,72,0,66.821
1,8,2241,4,0,26.5,0,18.399
1,8,8414,1,2,15,1,174.850220264317
1,8,8414,2,3,15,1,32.526
1,8,8414,3,0,71,0,65.974
1,8,8414,4,3,88,1,12.906
1,9,2241,1,0,229,2,201.775330396476
1,9,2241,2,2,16,1,43.006
1,9,2241,3,0,72,0,66.821
1,9,2241,4,0,26.5,0,18.399
1,9,4399,1,0,219.5,0,188.136563876652
1,9,4399,2,0,51.5,0,46.374
1,9,4399,3,0,55,0,49.501
1,9,4399,4,0,188,0,25.826
1,9,8989,1,0,421,0,373.95154185022
1,9,8989,2,0,156.5,0,151.39
1,9,8989,3,0,166.5,0,161.14
1,9,8989,4,0,224,0,11.83
1,10,3907,1,2,262.5,1,245.185022026432
1,10,3907,2,0,86,0,81.143
1,10,3907,3,0,54,0,48.94
1,10,3907,4,0,120.5,0,12.064
1,10,5754,1,3,13,1,95.3436123348018
1,10,5754,2,0,36,0,30.516
1,10,5754,3,0,68.5,0,63.153
1,10,5754,4,2,23,1,33.394
1,10,8004,1,0,163.5,0,142.594713656388
1,10,8004,2,0,137.5,0,132.04
1,10,8004,3,0,68,0,62.607
1,10,8004,4,3,12,1,20.645
1,11,1181,1,3,54.5,1,127.775330396476
1,11,1181,2,0,67,0,61.832
1,11,1181,3,3,20,1,78.593
1,11,1181,4,0,40,0,30.482
1,11,1251,1,3,33,1,186.674008810573
1,11,1251,2,0,55,0,71.126
1,11,1251,3,3,12.5,1,76.031
1,11,1251,4,0,66,0,55.286
1,11,8414,1,3,35,1,174.850220264317
1,11,8414,2,0,37.5,0,32.526
1,11,8414,3,0,71,0,65.974
1,11,8414,4,0,130.5,0,12.906
1,12,3907,1,2,14.5,1,245.185022026432
1,12,3907,2,2,13.5,1,81.143
1,12,3907,3,0,54,0,48.94
1,12,3907,4,3,45.5,1,12.064
1,12,6400,1,3,173,1,152.180616740088
1,12,6400,2,0,57,0,89.609
1,12,6400,3,3,112,1,171.83
1,12,6400,4,0,58,0,46.471
1,12,7194,1,0,115.5,0,97.9162995594714
1,12,7194,2,3,24,1,52.19
1,12,7194,3,0,76,0,70.545
1,12,7194,4,0,45.5,0,35.919
1,13,2241,1,3,74.5,1,201.775330396476
1,13,2241,2,0,48.5,0,43.006
1,13,2241,3,2,10,1,66.821
1,13,2241,4,0,26.5,0,18.399
1,13,3088,1,2,14.5,1,159.149779735683
1,13,3088,2,0,30,0,31.37
1,13,3088,3,3,15.5,1,153.38
1,13,3088,4,0,102.5,0,7.412
1,13,4774,1,1,112,1,222.84140969163
1,13,4774,2,0,44,0,56.349
1,13,4774,3,0,67.5,0,79.836
1,13,4774,4,0,35,0,25.697
1,14,1251,1,2,11,1,186.674008810573
1,14,1251,2,0,55,0,71.126
1,14,1251,3,3,8.5,1,76.031
1,14,1251,4,2,32.5,1,55.286
1,14,3472,1,2,22.5,1,126.286343612335
1,14,3472,2,0,41,0,47.274
1,14,3472,3,0,103,0,113.31
1,14,3472,4,3,15.5,1,48.932
1,14,5754,1,2,16.5,1,95.3436123348018
1,14,5754,2,2,23.5,1,30.516
1,14,5754,3,0,68.5,0,63.153
1,14,5754,4,2,15,1,33.394
1,15,1418,1,3,79.5,1,208.013215859031
1,15,1418,2,3,9,1,79.532
1,15,1418,3,2,139,1,275.09
