strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag
1,1,1418,1,2,177,1,236.77,0
1,1,1418,2,0,85,0,79.532,0
1,1,1418,3,2,280.5,1,275.09,0
1,1,1418,4,2,30.5,1,67.384,0
1,1,6400,1,2,32.5,1,173.4,0
1,1,6400,2,0,57,0,89.609,0
1,1,6400,3,2,56.5,1,171.83,0
1,1,6400,4,0,58,0,46.471,0
1,1,8004,1,2,60.5,1,162.52,1
1,1,8004,2,0,137.5,0,132.04,1
1,1,8004,3,0,68,0,62.607,1
1,1,8004,4,0,126,0,20.645,1
1,2,1870,1,2,70,1,223.74,1
1,2,1870,2,0,68.5,0,63.257,1
1,2,1870,3,0,147,0,154.28,1
1,2,1870,4,0,180,0,16.458,1
1,2,2652,1,2,89,1,318.52,1
1,2,2652,2,0,23,0,30.292,1
1,2,2652,3,2,9.5,1,153.93,1
1,2,2652,4,0,130.5,0,5.48,1
1,2,6605,1,0,162,0,156.57,1
1,2,6605,2,0,49,0,45.881,1
1,2,6605,3,0,48.5,0,68.863,1
1,2,6605,4,0,169,0,160.76,1
1,3,1418,1,2,124,1,236.77,0
1,3,1418,2,0,85,0,79.532,0
1,3,1418,3,0,280.5,0,275.09,0
1,3,1418,4,2,20.5,1,67.384,0
1,3,6605,1,2,131.5,1,156.57,1
1,3,6605,2,0,49,0,45.881,1
1,3,6605,3,0,48.5,0,68.863,1
1,3,6605,4,0,169,0,160.76,1
1,3,8521,1,0,237,0,231.75,0
1,3,8521,2,0,159,0,153.7,0
1,3,8521,3,0,117,0,111.83,0
1,3,8521,4,2,8,1,83.497,0
1,4,3088,1,0,186,0,181.31,1
1,4,3088,2,0,30,0,31.37,1
1,4,3088,3,2,118,1,153.38,1
1,4,3088,4,0,102.5,0,7.412,1
1,4,4774,1,1,112,1,253.6,0
1,4,4774,2,0,44,0,56.349,0
1,4,4774,3,0,67.5,0,79.836,0
1,4,4774,4,0,35,0,25.697,0
1,4,8864,1,2,16.5,1,294.51,1
1,4,8864,2,0,56.5,0,51.151,1
1,4,8864,3,0,43,0,37.675,1
1,4,8864,4,0,133,0,27.719,1
1,5,3088,1,2,148.5,1,181.31,1
1,5,3088,2,0,30,0,31.37,1
1,5,3088,3,0,157.5,0,153.38,1
1,5,3088,4,0,102.5,0,7.412,1
1,5,6400,1,0,178.5,0,173.4,0
1,5,6400,2,0,57,0,89.609,0
1,5,6400,3,2,102.5,1,171.83,0
1,5,6400,4,2,13.5,1,46.471,0
