strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag,matfile
1,1,1418,1,2,18,1,236.77,0,../../simdata-nr=3/alpha_t/TotalDist/00001/1418/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,1418,2,2,33,1,79.532,0,../../simdata-nr=3/alpha_t/TotalDist/00001/1418/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,1418,3,0,280.5,0,275.09,0,../../simdata-nr=3/alpha_t/TotalDist/00001/1418/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,1418,4,2,11.5,1,67.384,0,../../simdata-nr=3/alpha_t/TotalDist/00001/1418/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,2276,1,2,16,1,175.29,1,../../simdata-nr=3/alpha_t/TotalDist/00001/2276/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,2276,2,0,43.5,0,52.36,1,../../simdata-nr=3/alpha_t/TotalDist/00001/2276/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,2276,3,0,76,0,70.952,1,../../simdata-nr=3/alpha_t/TotalDist/00001/2276/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,2276,4,3,13.5,1,16.267,1,../../simdata-nr=3/alpha_t/TotalDist/00001/2276/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,7667,1,2,28,1,205.14,0,../../simdata-nr=3/alpha_t/TotalDist/00001/7667/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,7667,2,3,26,1,61.519,0,../../simdata-nr=3/alpha_t/TotalDist/00001/7667/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,7667,3,0,148,0,142.57,0,../../simdata-nr=3/alpha_t/TotalDist/00001/7667/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,1,7667,4,2,13.5,1,40.524,0,../../simdata-nr=3/alpha_t/TotalDist/00001/7667/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,2,3472,1,3,53,1,144.01,0,../../simdata-nr=3/alpha_t/TotalDist/00002/3472/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,2,3472,2,0,41,0,47.274,0,../../simdata-nr=3/alpha_t/TotalDist/00002/3472/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,2,3472,3,2,91,1,113.31,0,../../simdata-nr=3/alpha_t/TotalDist/00002/3472/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,2,3472,4,0,59.5,0,48.932,0,../../simdata-nr=3/alpha_t/TotalDist/00002/3472/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,2,6400,1,3,81.5,1,173.4,0,../../simdata-nr=3/alpha_t/TotalDist/00002/6400/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,2,6400,2,0,57,0,89.609,0,../../simdata-nr=3/alpha_t/TotalDist/00002/6400/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
